model,evaluation,rows,metric_percent,mean_at_least_one,mean_at_least_two,mean_at_least_three
past_monthly_single,full_past_only,1008,11.32,0.1184017208301844,0.067757109881966,0.04828320813729047
past_daily_8_geometric,full_past_only,1008,9.15,0.117156110998863,0.06700869080943163,0.04780382694866935
past_weekly_5_geometric,full_past_only,1008,9.28,0.11825863122970386,0.06750866744445169,0.04807706050538525
past_only_geometric_blend,full_past_only,1008,8.92,0.11777658009279068,0.06729514928617543,0.047959456136038185
past_monthly_single,purged_temporal_oof_rows,604,11.78,0.10409817840097121,0.054923700257896835,0.03639436412596519
past_daily_8_geometric,purged_temporal_oof_rows,604,9.53,0.10335204927599548,0.0544341596233084,0.036151465356042065
past_weekly_5_geometric,purged_temporal_oof_rows,604,9.87,0.10444944369229116,0.05477183973445502,0.03643767825108892
past_only_geometric_blend,purged_temporal_oof_rows,604,9.46,0.10394492797783045,0.05461633779244909,0.03630287131213565
past_only_blend_past_median_calibration,purged_temporal_oof_rows,604,9.43,0.1041674290272218,0.05461633779244909,0.03630287131213565
