feature_set,alpha,correction_weight,uncertainty_weight,correction_clip,train_rows,selection_rows,selection_metric_percent,selection_metric_raw_percent,selection_at_least_one_abs_log_error,selection_at_least_two_abs_log_error,selection_at_least_three_abs_log_error
static_replay,300.0,0.15,2.0,0.15,389,254,7.95,7.951694602363024,0.09548020739099558,0.07269487974335229,0.06136591950487025
static_replay,300.0,0.15,2.0,0.25,389,254,7.95,7.951694602363024,0.09548020739099558,0.07269487974335229,0.06136591950487025
static_replay,300.0,0.15,2.0,0.4,389,254,7.95,7.951694602363024,0.09548020739099558,0.07269487974335229,0.06136591950487025
static_replay,500.0,0.1,0.0,0.15,389,254,7.95,7.951726705589834,0.09573605249155122,0.07266029694859488,0.06114554935427578
static_replay,500.0,0.1,0.0,0.25,389,254,7.95,7.951726705589834,0.09573605249155122,0.07266029694859488,0.06114554935427578
static_replay,500.0,0.1,0.0,0.4,389,254,7.95,7.951726705589834,0.09573605249155122,0.07266029694859488,0.06114554935427578
all,1000.0,0.06,0.0,0.15,389,254,7.95,7.9517323792033245,0.09573819544396459,0.07265602325807168,0.061147837763231516
all,1000.0,0.06,0.0,0.25,389,254,7.95,7.9517323792033245,0.09573819544396459,0.07265602325807168,0.061147837763231516
all,1000.0,0.06,0.0,0.4,389,254,7.95,7.9517323792033245,0.09573819544396459,0.07265602325807168,0.061147837763231516
static_replay,300.0,0.12,2.0,0.08,389,254,7.95,7.951745385132636,0.09551069860649102,0.07268230290081083,0.06134941639529239
static_replay,200.0,0.1,0.0,0.08,389,254,7.95,7.951759358198118,0.09574412040455582,0.07268739514229412,0.06111129066992672
no_decomp,1000.0,0.2,1.0,0.08,389,254,7.95,7.951762507540461,0.09541242808115243,0.0726631132606628,0.06146735239578494
no_decomp,1000.0,0.2,1.0,0.15,389,254,7.95,7.951762507540461,0.09541242808115243,0.0726631132606628,0.06146735239578494
no_decomp,1000.0,0.2,1.0,0.25,389,254,7.95,7.951762507540461,0.09541242808115243,0.0726631132606628,0.06146735239578494
no_decomp,1000.0,0.2,1.0,0.4,389,254,7.95,7.951762507540461,0.09541242808115243,0.0726631132606628,0.06146735239578494
static_replay,500.0,0.15,1.0,0.08,389,254,7.95,7.951778907854479,0.09551725171654743,0.072679973152322,0.06134612463653999
static_replay,300.0,0.08,0.0,0.08,389,254,7.95,7.951814317761663,0.09573740786993706,0.07266879925535143,0.06113812642786194
static_replay,500.0,0.15,1.0,0.15,389,254,7.95,7.9518232151398305,0.09551848302398994,0.072679973152322,0.06134612463653999
static_replay,500.0,0.15,1.0,0.25,389,254,7.95,7.9518232151398305,0.09551848302398994,0.072679973152322,0.06134612463653999
static_replay,500.0,0.15,1.0,0.4,389,254,7.95,7.9518232151398305,0.09551848302398994,0.072679973152322,0.06134612463653999
static_replay,300.0,0.12,0.0,0.08,389,254,7.95,7.951832704187223,0.0957590278991691,0.07268955078085002,0.06109626583510354
static_replay,300.0,0.2,2.0,0.15,389,254,7.95,7.951840157933399,0.09541880059271655,0.07273256865634835,0.06139368240693926
static_replay,300.0,0.2,2.0,0.25,389,254,7.95,7.951840157933399,0.09541880059271655,0.07273256865634835,0.06139368240693926
static_replay,300.0,0.2,2.0,0.4,389,254,7.95,7.951840157933399,0.09541880059271655,0.07273256865634835,0.06139368240693926
static_replay,200.0,0.2,2.0,0.08,389,254,7.95,7.951894132186044,0.0953876943774563,0.07275842961902843,0.06140042761280592
static_replay,100.0,0.08,0.0,0.08,389,254,7.95,7.951896911098233,0.09572303394701306,0.07268257118054829,0.061141023708132375
all,200.0,0.1,0.0,0.08,389,254,7.95,7.951943928203087,0.09597502860535088,0.07258720150266477,0.060985705340047824
no_decomp,1000.0,0.2,2.0,0.08,389,254,7.95,7.951980773042755,0.09540176792056403,0.0726621804767526,0.061485010973949254
no_decomp,1000.0,0.2,2.0,0.15,389,254,7.95,7.951980773042755,0.09540176792056403,0.0726621804767526,0.061485010973949254
no_decomp,1000.0,0.2,2.0,0.25,389,254,7.95,7.951980773042755,0.09540176792056403,0.0726621804767526,0.061485010973949254
no_decomp,1000.0,0.2,2.0,0.4,389,254,7.95,7.951980773042755,0.09540176792056403,0.0726621804767526,0.061485010973949254
all,100.0,0.1,0.0,0.08,389,254,7.95,7.951982916472922,0.09604549919617876,0.07255323754478851,0.06095028219650965
static_replay,100.0,0.06,0.0,0.08,389,254,7.95,7.952013424022897,0.09572934782796803,0.07267063604788998,0.061149882870380694
static_replay,1000.0,0.2,0.0,0.08,389,254,7.95,7.952028415092616,0.09573420338740347,0.07265239027061292,0.06116368969190224
static_replay,1000.0,0.2,0.0,0.15,389,254,7.95,7.952028415092616,0.09573420338740347,0.07265239027061292,0.06116368969190224
static_replay,1000.0,0.2,0.0,0.25,389,254,7.95,7.952028415092616,0.09573420338740347,0.07265239027061292,0.06116368969190224
static_replay,1000.0,0.2,0.0,0.4,389,254,7.95,7.952028415092616,0.09573420338740347,0.07265239027061292,0.06116368969190224
all,500.0,0.04,0.0,0.25,389,254,7.95,7.952040338639232,0.09577913263461976,0.07264477158855719,0.061126710483534
all,500.0,0.04,0.0,0.4,389,254,7.95,7.952040338639232,0.09577913263461976,0.07264477158855719,0.061126710483534
all,2000.0,0.1,0.0,0.15,389,254,7.95,7.9520662311183266,0.09568688242923239,0.07266450858766614,0.06119994324479006
all,2000.0,0.1,0.0,0.25,389,254,7.95,7.9520662311183266,0.09568688242923239,0.07266450858766614,0.06119994324479006
all,2000.0,0.1,0.0,0.4,389,254,7.95,7.9520662311183266,0.09568688242923239,0.07266450858766614,0.06119994324479006
static_replay,1000.0,0.15,0.0,0.08,389,254,7.95,7.952077678360614,0.09571664923976796,0.07264356579336027,0.061191437348687254
static_replay,1000.0,0.15,0.0,0.15,389,254,7.95,7.952077678360614,0.09571664923976796,0.07264356579336027,0.061191437348687254
static_replay,1000.0,0.15,0.0,0.25,389,254,7.95,7.952077678360614,0.09571664923976796,0.07264356579336027,0.061191437348687254
static_replay,1000.0,0.15,0.0,0.4,389,254,7.95,7.952077678360614,0.09571664923976796,0.07264356579336027,0.061191437348687254
static_replay,500.0,0.12,2.0,0.08,389,254,7.95,7.95209246535038,0.09553078684199001,0.07267218177961926,0.06134909469223519
static_replay,200.0,0.1,2.0,0.08,389,254,7.95,7.9520984071626,0.0955293872505034,0.07268288307697773,0.06133995810994505
static_replay,500.0,0.12,2.0,0.15,389,254,7.95,7.952115271861038,0.09553142063725169,0.07267218177961926,0.06134909469223519
static_replay,500.0,0.12,2.0,0.25,389,254,7.95,7.952115271861038,0.09553142063725169,0.07267218177961926,0.06134909469223519
static_replay,500.0,0.12,2.0,0.4,389,254,7.95,7.952115271861038,0.09553142063725169,0.07267218177961926,0.06134909469223519
all,500.0,0.06,0.0,0.08,389,254,7.95,7.9521281649789,0.09578399617525517,0.0726388168669389,0.06113024236791613
static_replay,300.0,0.12,2.0,0.15,389,254,7.95,7.95212936631009,0.09551936298662853,0.07268430941329809,0.06134941639529239
static_replay,300.0,0.12,2.0,0.25,389,254,7.95,7.95212936631009,0.09551936298662853,0.07268430941329809,0.06134941639529239
static_replay,300.0,0.12,2.0,0.4,389,254,7.95,7.95212936631009,0.09551936298662853,0.07268430941329809,0.06134941639529239
static_replay,100.0,0.12,2.0,0.08,389,254,7.95,7.952140419875375,0.09547428739484287,0.07271517731221962,0.06136393126777756
static_replay,300.0,0.15,1.0,0.08,389,254,7.95,7.952147796570652,0.09550817899825842,0.07270326909131636,0.061342152884304155
all,300.0,0.12,0.0,0.08,389,254,7.95,7.952178788411746,0.09596494769813428,0.07261598831101163,0.0609735262306905
static_replay,300.0,0.12,1.0,0.08,389,254,7.95,7.952179493936318,0.09553979786373139,0.07268583179849841,0.061328852184193254
static_replay,500.0,0.12,1.0,0.08,389,254,7.95,7.952187719061832,0.09555114318693825,0.07266998673466857,0.061333580501725965
all,200.0,0.04,0.0,0.15,389,254,7.95,7.95220780421142,0.09584042309766037,0.0726136274335972,0.06110121805994997
static_replay,200.0,0.12,1.0,0.08,389,254,7.95,7.9522178947415645,0.09553006317325187,0.0726944449963252,0.06133104083821123
static_replay,1000.0,0.15,1.0,0.08,389,254,7.95,7.9522197470571765,0.09553888833943101,0.07265810229114074,0.061358609853202024
static_replay,1000.0,0.15,1.0,0.15,389,254,7.95,7.9522197470571765,0.09553888833943101,0.07265810229114074,0.061358609853202024
static_replay,1000.0,0.15,1.0,0.25,389,254,7.95,7.9522197470571765,0.09553888833943101,0.07265810229114074,0.061358609853202024
static_replay,1000.0,0.15,1.0,0.4,389,254,7.95,7.9522197470571765,0.09553888833943101,0.07265810229114074,0.061358609853202024
static_replay,500.0,0.12,1.0,0.15,389,254,7.95,7.9522231649569175,0.09555212823105894,0.07266998673466857,0.061333580501725965
