feature_source,feature_set,alpha,correction_weight,uncertainty_weight,correction_clip,half_life_hours,train_rows,selection_rows,selection_metric_percent,selection_metric_raw_percent,selection_at_least_one_abs_log_error,selection_at_least_two_abs_log_error,selection_at_least_three_abs_log_error
standard,all,1000.0,0.2,0.0,0.25,168.0,389,254,7.93,7.9338667040949495,0.09509229466186718,0.07256750937864466,0.06138572069058654
standard,all,1000.0,0.2,0.0,0.4,168.0,389,254,7.93,7.9338667040949495,0.09509229466186718,0.07256750937864466,0.06138572069058654
standard,all,1000.0,0.15,0.0,0.25,72.0,389,254,7.93,7.933920034197528,0.09484288359625874,0.07264944951341111,0.06155467392047996
standard,all,1000.0,0.15,0.0,0.4,72.0,389,254,7.93,7.933920034197528,0.09484288359625874,0.07264944951341111,0.06155467392047996
standard,all,1000.0,0.18,0.0,0.15,72.0,389,254,7.93,7.933967786020379,0.09468439894748355,0.07267431898757125,0.06168961634640591
standard,all,1500.0,0.18,0.0,0.15,168.0,389,254,7.93,7.933975459018261,0.09515782928424757,0.07255394964916664,0.061336768617263566
standard,all,1500.0,0.18,0.0,0.25,168.0,389,254,7.93,7.933975459018261,0.09515782928424757,0.07255394964916664,0.061336768617263566
standard,all,1500.0,0.18,0.0,0.4,168.0,389,254,7.93,7.933975459018261,0.09515782928424757,0.07255394964916664,0.061336768617263566
standard,all,1000.0,0.15,0.0,0.25,168.0,389,254,7.93,7.933979901885602,0.09521807778756237,0.07255919709611425,0.06127139615547394
standard,all,1000.0,0.15,0.0,0.4,168.0,389,254,7.93,7.933979901885602,0.09521807778756237,0.07255919709611425,0.06127139615547394
standard,all,1000.0,0.2,0.0,0.25,72.0,389,254,7.93,7.934031409497599,0.09458482669425197,0.0726924960958187,0.06177277989089715
standard,all,1000.0,0.2,0.0,0.4,72.0,389,254,7.93,7.934031409497599,0.09458482669425197,0.0726924960958187,0.06177277989089715
standard,all,1500.0,0.3,0.0,0.15,72.0,389,254,7.93,7.934051403847597,0.09421014690738613,0.07271601463214358,0.06212449687945363
standard,all,1500.0,0.3,0.0,0.25,72.0,389,254,7.93,7.934051403847597,0.09421014690738613,0.07271601463214358,0.06212449687945363
standard,all,1500.0,0.3,0.0,0.4,72.0,389,254,7.93,7.934051403847597,0.09421014690738613,0.07271601463214358,0.06212449687945363
standard,all,1500.0,0.25,0.0,0.15,168.0,389,254,7.93,7.9340881345342895,0.09498817998715825,0.07256371100831281,0.061499788343600995
standard,all,1500.0,0.25,0.0,0.25,168.0,389,254,7.93,7.9340881345342895,0.09498817998715825,0.07256371100831281,0.061499788343600995
standard,all,1500.0,0.25,0.0,0.4,168.0,389,254,7.93,7.9340881345342895,0.09498817998715825,0.07256371100831281,0.061499788343600995
standard,all,1000.0,0.15,0.0,0.15,72.0,389,254,7.93,7.934133277014577,0.09484288359625874,0.07264944951341111,0.06156060095267705
standard,all,1000.0,0.25,0.0,0.25,120.0,389,254,7.93,7.934166411819965,0.09476922733624173,0.07262254837746225,0.06166207932144228
standard,all,1000.0,0.25,0.0,0.4,120.0,389,254,7.93,7.934166411819965,0.09476922733624173,0.07262254837746225,0.06166207932144228
standard,all,1000.0,0.2,0.0,0.15,168.0,389,254,7.93,7.934182050259686,0.09509229466186718,0.07256750937864466,0.06139448566066619
standard,all,1000.0,0.15,0.0,0.15,168.0,389,254,7.93,7.934216411736794,0.09521807778756237,0.07255919709611425,0.06127796988486699
standard,all,1000.0,0.2,0.0,0.15,72.0,389,254,7.93,7.934315733464792,0.09458482669425197,0.0726924960958187,0.06178068259560443
standard,all,1000.0,0.22,0.0,0.25,168.0,389,254,7.93,7.934473100804107,0.09505443072526869,0.07257423720979786,0.06143371142259845
standard,all,1000.0,0.22,0.0,0.4,168.0,389,254,7.93,7.934473100804107,0.09505443072526869,0.07257423720979786,0.06143371142259845
standard,all,1500.0,0.2,0.0,0.08,72.0,389,254,7.93,7.934574357129454,0.09470152551748419,0.0726447166887993,0.06171895153333779
standard,all,1000.0,0.25,0.0,0.15,120.0,389,254,7.93,7.934681536003652,0.09476922733624173,0.07262254837746225,0.061676397020043
standard,all,1000.0,0.18,0.0,0.08,120.0,389,254,7.93,7.934689937268358,0.09499636545295315,0.07259053812080297,0.06148150266967233
standard,all,1500.0,0.18,0.0,0.08,72.0,389,254,7.93,7.934759601977404,0.09479676100682354,0.0726327552374295,0.061640826300283516
standard,all,1500.0,0.22,0.0,0.08,72.0,389,254,7.93,7.934781433120475,0.09461159158824009,0.07265847233304053,0.06180088541038207
standard,all,1000.0,0.12,0.0,0.25,120.0,389,254,7.93,7.934809760294592,0.09520502910192115,0.07257658473076434,0.06129012284027748
standard,all,1000.0,0.12,0.0,0.4,120.0,389,254,7.93,7.934809760294592,0.09520502910192115,0.07257658473076434,0.06129012284027748
standard,all,1000.0,0.22,0.0,0.15,168.0,389,254,7.93,7.9348199834001765,0.09505443072526869,0.07257423720979786,0.061443352884552785
standard,all,1000.0,0.22,0.0,0.25,72.0,389,254,7.93,7.934824448699618,0.094488302286581,0.07271172260278275,0.06187212004125239
standard,all,1000.0,0.22,0.0,0.4,72.0,389,254,7.93,7.934824448699618,0.094488302286581,0.07271172260278275,0.06187212004125239
standard,all,1500.0,0.2,0.0,0.08,168.0,389,254,7.93,7.934998118987213,0.09511644773240274,0.07255375023013831,0.06140677405188478
standard,all,1000.0,0.2,0.0,0.08,120.0,389,254,7.94,7.935053905321077,0.09493512111955503,0.0725980848733278,0.06154531657475802
standard,all,1000.0,0.12,0.0,0.15,120.0,389,254,7.94,7.935057020995884,0.09520502910192115,0.07257658473076434,0.061296995333552526
standard,all,1000.0,0.22,0.0,0.15,72.0,389,254,7.94,7.935137207560983,0.094488302286581,0.07271172260278275,0.06188081302083035
standard,all,1500.0,0.18,0.0,0.08,168.0,389,254,7.94,7.935142112129712,0.09516729889885378,0.07255394964916664,0.06135972568206159
standard,all,1500.0,0.22,0.0,0.08,168.0,389,254,7.94,7.9351585826391124,0.09506854654325096,0.07255615177804127,0.06145673369782415
standard,all,1000.0,0.15,0.0,0.08,120.0,389,254,7.94,7.935321446120214,0.09510531600525209,0.07257963213700695,0.06140101057678603
standard,all,1000.0,0.18,0.0,0.08,168.0,389,254,7.94,7.9353365423452615,0.09514489293699349,0.07256283701148694,0.06137864836140257
standard,all,1500.0,0.15,0.0,0.15,168.0,389,254,7.94,7.935430832300305,0.09524050446793723,0.0725559577089469,0.0612925368663997
standard,all,1500.0,0.15,0.0,0.25,168.0,389,254,7.94,7.935430832300305,0.09524050446793723,0.0725559577089469,0.0612925368663997
standard,all,1500.0,0.15,0.0,0.4,168.0,389,254,7.94,7.935430832300305,0.09524050446793723,0.0725559577089469,0.0612925368663997
standard,all,1500.0,0.15,0.0,0.08,120.0,389,254,7.94,7.935516099748519,0.09513360020209852,0.07256722023768546,0.06139054855970082
standard,all,1000.0,0.22,0.0,0.08,120.0,389,254,7.94,7.935704970832136,0.0948796178031709,0.07260787029122788,0.061609130453849706
standard,all,1500.0,0.25,0.0,0.08,168.0,389,254,7.94,7.9357084910431475,0.09500133222722244,0.07256371100831281,0.06153167315459828
standard,all,1000.0,0.12,0.0,0.25,168.0,389,254,7.94,7.935711412349877,0.09531012963918853,0.07256270469647193,0.06122396325021643
standard,all,1000.0,0.12,0.0,0.4,168.0,389,254,7.94,7.935711412349877,0.09531012963918853,0.07256270469647193,0.06122396325021643
standard,all,1500.0,0.25,0.0,0.08,72.0,389,254,7.94,7.935721153293085,0.09448553294367562,0.07268005070062801,0.061931484684480315
standard,all,1000.0,0.12,0.0,0.25,72.0,389,254,7.94,7.935796175522314,0.0950159078742404,0.07262692844847353,0.06145631719721023
standard,all,1000.0,0.12,0.0,0.4,72.0,389,254,7.94,7.935796175522314,0.0950159078742404,0.07262692844847353,0.06145631719721023
standard,all,1500.0,0.3,0.0,0.08,120.0,389,254,7.94,7.935811963863282,0.09468091648254809,0.07260653136134375,0.06181214450190086
standard,all,1000.0,0.2,0.0,0.08,168.0,389,254,7.94,7.935825823455489,0.09510143417762004,0.07256750937864466,0.061431034007123235
standard,all,1000.0,0.15,0.0,0.08,168.0,389,254,7.94,7.935851071880573,0.09522493242437703,0.07255919709611425,0.06131654980494663
standard,all,1000.0,0.12,0.0,0.15,168.0,389,254,7.94,7.935900622855319,0.09531012963918853,0.07256270469647193,0.06122922222346432
standard,all,1000.0,0.18,0.0,0.25,240.0,389,254,7.94,7.935904478797129,0.09528215408502735,0.07254895890629366,0.061271050740904845
standard,all,1000.0,0.18,0.0,0.4,240.0,389,254,7.94,7.935904478797129,0.09528215408502735,0.07254895890629366,0.061271050740904845
standard,all,1000.0,0.15,0.0,0.25,240.0,389,254,7.94,7.935949545808452,0.09533580691278157,0.07255085474517087,0.061216754678829755
standard,all,1000.0,0.15,0.0,0.4,240.0,389,254,7.94,7.935949545808452,0.09533580691278157,0.07255085474517087,0.061216754678829755
standard,all,1000.0,0.12,0.0,0.15,72.0,389,254,7.94,7.935966772760339,0.0950159078742404,0.07262692844847353,0.06146105882443455
standard,all,500.0,0.15,0.0,0.25,120.0,389,254,7.94,7.93598734067531,0.09514231360736541,0.07261677456713268,0.06134537864251069
standard,all,500.0,0.15,0.0,0.4,120.0,389,254,7.94,7.93598734067531,0.09514231360736541,0.07261677456713268,0.06134537864251069
standard,all,1000.0,0.25,0.0,0.25,168.0,389,254,7.94,7.93607058547221,0.09500376734633845,0.07258432897453855,0.06151868422207775
standard,all,1000.0,0.25,0.0,0.4,168.0,389,254,7.94,7.93607058547221,0.09500376734633845,0.07258432897453855,0.06151868422207775
standard,all,1000.0,0.18,0.0,0.15,240.0,389,254,7.94,7.936082255575605,0.09528215408502735,0.07254895890629366,0.061275991913157336
standard,all,1000.0,0.15,0.0,0.15,240.0,389,254,7.94,7.936097693341271,0.09533580691278157,0.07255085474517087,0.061220872327262324
standard,all,500.0,0.12,0.0,0.25,120.0,389,254,7.94,7.9361673561207935,0.09524386000360194,0.07259847828595792,0.0612671319178793
standard,all,500.0,0.12,0.0,0.4,120.0,389,254,7.94,7.9361673561207935,0.09524386000360194,0.07259847828595792,0.0612671319178793
standard,all,1500.0,0.3,0.0,0.15,168.0,389,254,7.94,7.9361838434919285,0.09490260583047096,0.07257640703244282,0.06163091559786898
standard,all,1500.0,0.3,0.0,0.25,168.0,389,254,7.94,7.9361838434919285,0.09490260583047096,0.07257640703244282,0.06163091559786898
standard,all,1500.0,0.3,0.0,0.4,168.0,389,254,7.94,7.9361838434919285,0.09490260583047096,0.07257640703244282,0.06163091559786898
standard,all,500.0,0.15,0.0,0.25,168.0,389,254,7.94,7.936199421487111,0.09529972851636713,0.07257636546558856,0.061234267456726936
standard,all,500.0,0.15,0.0,0.4,168.0,389,254,7.94,7.936199421487111,0.09529972851636713,0.07257636546558856,0.061234267456726936
standard,all,500.0,0.12,0.0,0.25,168.0,389,254,7.94,7.936243616912408,0.09536267299332496,0.07256938540669383,0.06117953141477357
