source,selection_metric_raw_percent,selection_metric_percent,at_least_one_abs_log_error,at_least_two_abs_log_error,at_least_three_abs_log_error
targetwise,7.917467483894591,7.92,0.0953254153367079,0.07247275656302228,0.060791505190854016
hazard_targetwise,7.9189758541927,7.92,0.09536159623541249,0.07253801695320736,0.06073199482729288
ridge,7.942444381906655,7.94,0.09573786068836601,0.07254913812097867,0.06099693126895686
hazard_ridge,7.946195326178085,7.95,0.09587246894538388,0.07260243351687949,0.06091327425755322
base,7.959060407911922,7.96,0.09578433736101405,0.07267389668314991,0.061287462876964294
