at_least_one_option,at_least_two_option,at_least_three_option,selection_metric_percent,selection_metric_raw_percent
targetwise_0.50+hazard_targetwise_0.50,base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.916790744688984
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,hazard_targetwise,7.92,7.916797104420326
targetwise,targetwise_0.75+hazard_ridge_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916871011506754
targetwise_0.25+hazard_targetwise_0.75,base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.916923309367907
targetwise,targetwise,targetwise_0.75+hazard_targetwise_0.25,7.92,7.916928675571522
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.916956621974336
targetwise_0.75+hazard_targetwise_0.25,base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.916966179056817
targetwise,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.916977405855108
targetwise_0.50+hazard_targetwise_0.50,targetwise,targetwise,7.92,7.917014286084867
targetwise,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,7.92,7.917026136160699
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917063016407111
targetwise,targetwise_0.25+hazard_targetwise_0.75,hazard_targetwise,7.92,7.917074866488294
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.917089909964559
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,7.92,7.917111746751337
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.917132056611842
targetwise_0.25+hazard_targetwise_0.75,targetwise,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917147574146299
hazard_targetwise,targetwise,targetwise_0.25+hazard_targetwise_0.75,7.92,7.917152572336139
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.917160477117591
targetwise_0.75+hazard_targetwise_0.25,targetwise,targetwise,7.92,7.917189720816098
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.91719630452874
hazard_targetwise,targetwise_0.75+hazard_targetwise_0.25,hazard_targetwise,7.92,7.917201302720822
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.9172384512175675
targetwise,base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.917243941559948
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,7.92,7.9172450349331625
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,7.92,7.9172871816410195
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,hazard_targetwise,7.92,7.91729376535959
targetwise_0.50+hazard_targetwise_0.50,base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917329552323382
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.917335912086476
targetwise,targetwise_0.75+hazard_ridge_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.9174098195418985
hazard_targetwise,base_0.25+targetwise_0.75,hazard_targetwise,7.92,7.9174607316723655
targetwise_0.25+hazard_targetwise_0.75,base_0.25+targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.917462840774214
targetwise,targetwise,targetwise,7.92,7.917467483894591
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917495430436916
targetwise_0.75+hazard_targetwise_0.25,base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917504987567137
targetwise,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917516214421472
targetwise,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,7.92,7.917564944970357
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,targetwise,7.92,7.917598199705345
targetwise,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.917613675541246
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.917628719092629
hazard_targetwise,targetwise_0.75+hazard_ridge_0.25,hazard_targetwise,7.92,7.9176337173047395
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917646930291267
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917670865950344
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.917678620073354
base_0.25+targetwise_0.75,targetwise,hazard_targetwise,7.92,7.917686318978334
targetwise_0.25+hazard_targetwise_0.75,targetwise,targetwise,7.92,7.917686383562295
hazard_targetwise,targetwise,targetwise_0.50+hazard_targetwise_0.50,7.92,7.91769138177707
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917735114188007
hazard_targetwise,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.917740112405047
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_targetwise_0.25,targetwise,7.92,7.917773635385816
targetwise,base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.91778275145707
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,7.92,7.917783844835746
hazard_targetwise,targetwise_0.50+hazard_targetwise_0.50,hazard_targetwise,7.92,7.917788843055029
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917822366050964
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.91783257550549
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.917854055884566
targetwise_0.50+hazard_targetwise_0.50,base_0.25+targetwise_0.75,targetwise,7.92,7.91786836264794
targetwise,targetwise_0.75+hazard_ridge_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.917948630267224
targetwise_0.25+hazard_targetwise_0.75,base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.9180016517642615
hazard_targetwise,base_0.25+targetwise_0.75,targetwise_0.25+hazard_targetwise_0.75,7.92,7.918005926879967
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_ridge_0.25,targetwise,7.92,7.918034241589678
targetwise_0.75+hazard_targetwise_0.25,base_0.25+targetwise_0.75,targetwise,7.92,7.918043798767593
targetwise,targetwise_0.75+hazard_targetwise_0.25,targetwise,7.92,7.918051399967241
targetwise_0.50+hazard_targetwise_0.50,targetwise,targetwise_0.75+hazard_ridge_0.25,7.92,7.918076966374876
targetwise,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,7.92,7.918100130757777
targetwise,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,7.92,7.918131820672958
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.50+hazard_targetwise_0.50,targetwise,7.92,7.918148034682693
targetwise_0.50+hazard_targetwise_0.50,targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,7.92,7.918160541110009
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_ridge_0.25,targetwise_0.75+hazard_targetwise_0.25,7.92,7.91816753091088
hazard_targetwise,targetwise_0.75+hazard_ridge_0.25,targetwise_0.25+hazard_targetwise_0.75,7.92,7.918172529147949
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.75+hazard_ridge_0.25,targetwise,7.92,7.9182096779790045
base_0.25+targetwise_0.75,targetwise,targetwise_0.25+hazard_targetwise_0.75,7.92,7.918225131084178
hazard_targetwise,targetwise,targetwise_0.75+hazard_targetwise_0.25,7.92,7.918230193908182
targetwise_0.75+hazard_targetwise_0.25,targetwise,targetwise_0.75+hazard_ridge_0.25,7.92,7.9182524028336365
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,targetwise,7.92,7.91827030081933
base_0.25+targetwise_0.75,targetwise_0.75+hazard_targetwise_0.25,hazard_targetwise,7.92,7.9182738619531845
hazard_targetwise,targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,7.92,7.918278924779476
targetwise_0.25+hazard_targetwise_0.75,targetwise_0.50+hazard_targetwise_0.50,targetwise_0.75+hazard_targetwise_0.25,7.92,7.918319031708743
targetwise,base_0.25+targetwise_0.75,targetwise,7.92,7.918321564044373
targetwise_0.75+hazard_targetwise_0.25,targetwise_0.50+hazard_targetwise_0.50,targetwise,7.92,7.918323471257005
