target,option,target_abs_log_error
at_least_three,temporal_ridge_0.65+targetwise_0.35,0.061417198192023646
at_least_three,temporal_targetwise_0.20+temporal_ridge_0.80,0.06154795093718068
at_least_three,temporal_ridge_0.80+hazard_targetwise_0.20,0.06155312769412267
at_least_three,temporal_ridge_0.80+targetwise_0.20,0.061566687314953454
at_least_three,temporal_ridge,0.0617682064158926
at_least_two,temporal_targetwise,0.0724389533162545
at_least_two,temporal_targetwise_0.80+targetwise_0.20,0.0724424257134828
at_least_two,temporal_targetwise_0.65+targetwise_0.35,0.07244811274777152
at_least_two,temporal_targetwise_0.50+targetwise_0.50,0.07245379978206017
at_least_two,temporal_targetwise_0.80+hazard_targetwise_0.20,0.07245541151472236
at_least_two,temporal_targetwise_0.35+targetwise_0.65,0.07245948681634884
at_least_two,base_0.20+temporal_targetwise_0.80,0.07246153979515366
at_least_two,temporal_targetwise_0.80+hazard_ridge_0.20,0.07246510871356347
at_least_two,temporal_targetwise_0.20+targetwise_0.80,0.07246517385063748
at_least_two,temporal_targetwise_0.65+hazard_targetwise_0.35,0.07247083789994069
at_least_two,targetwise,0.07247275656302228
at_least_two,temporal_targetwise_0.80+temporal_ridge_0.20,0.07247640499647867
at_least_two,base_0.35+temporal_targetwise_0.65,0.07248277235676354
at_least_two,targetwise_0.80+hazard_targetwise_0.20,0.07248574236426188
at_least_two,temporal_targetwise_0.50+hazard_targetwise_0.50,0.07248626428515902
at_least_two,temporal_targetwise_0.65+hazard_ridge_0.35,0.07248780799791271
at_least_two,targetwise_0.65+hazard_targetwise_0.35,0.07249548171519156
at_least_two,temporal_targetwise_0.35+hazard_targetwise_0.65,0.07250169067037733
at_least_two,base_0.50+temporal_targetwise_0.50,0.07250400491837344
at_least_two,targetwise_0.50+hazard_targetwise_0.50,0.07250522106612123
at_least_two,temporal_ridge_0.20+targetwise_0.80,0.07250673584601826
at_least_two,temporal_targetwise_0.65+temporal_ridge_0.35,0.07250757649301433
at_least_two,temporal_targetwise_0.50+hazard_ridge_0.50,0.07251104447941177
at_least_two,targetwise_0.35+hazard_targetwise_0.65,0.0725149604170509
at_least_two,temporal_targetwise_0.20+hazard_targetwise_0.80,0.0725171170555957
at_least_two,targetwise_0.20+hazard_targetwise_0.80,0.07252469976798055
at_least_two,temporal_ridge_0.35+targetwise_0.65,0.07253222030826514
at_least_two,temporal_targetwise_0.35+hazard_ridge_0.65,0.07253438890933314
at_least_two,hazard_targetwise,0.07253801695320736
at_least_two,temporal_targetwise_0.50+temporal_ridge_0.50,0.07253874798954989
at_least_two,base_0.65+temporal_targetwise_0.35,0.07254130698626439
at_least_two,ridge,0.07254913812097867
at_least_two,temporal_ridge_0.50+targetwise_0.50,0.07255770477051209
at_least_two,temporal_targetwise_0.20+hazard_ridge_0.80,0.07255773333925454
at_least_two,temporal_ridge_0.20+hazard_targetwise_0.80,0.07255867905097645
at_least_two,temporal_targetwise_0.35+temporal_ridge_0.65,0.07256991948608547
at_least_two,temporal_ridge_0.35+hazard_targetwise_0.65,0.07257564152074804
at_least_two,temporal_ridge_0.65+targetwise_0.35,0.0725843727237504
at_least_two,base_0.80+temporal_targetwise_0.20,0.07259060406722746
at_least_two,temporal_ridge_0.50+hazard_targetwise_0.50,0.07259434227819017
at_least_two,hazard_ridge,0.07260243351687949
at_least_two,temporal_targetwise_0.20+temporal_ridge_0.80,0.07260637194990517
at_least_two,temporal_ridge_0.65+hazard_targetwise_0.35,0.0726130430356323
at_least_two,temporal_ridge_0.80+targetwise_0.20,0.07261536075771331
at_least_two,temporal_ridge_0.80+hazard_targetwise_0.20,0.0726317437930744
at_least_two,temporal_ridge,0.07265847233304053
at_least_two,base,0.07267389668314991
