source,selection_metric_percent,selection_metric_raw_percent,at_least_one_abs_log_error,at_least_two_abs_log_error,at_least_three_abs_log_error
temporal_targetwise,7.85,7.853705961069357,0.09365602480115173,0.0724389533162545,0.060721667191503355
targetwise,7.92,7.917467483894591,0.0953254153367079,0.07247275656302228,0.060791505190854016
hazard_targetwise,7.92,7.9189758541927,0.09536159623541249,0.07253801695320736,0.06073199482729288
temporal_ridge,7.93,7.930945193077266,0.09453764207517784,0.07265847233304053,0.0617682064158926
ridge,7.94,7.942444381906655,0.09573786068836601,0.07254913812097867,0.06099693126895686
hazard_ridge,7.95,7.946195326178085,0.09587246894538388,0.07260243351687949,0.06091327425755322
base,7.96,7.959060407911922,0.09578433736101405,0.07267389668314991,0.061287462876964294
