at_least_one_option,at_least_two_option,at_least_three_option,selection_metric_percent,selection_metric_raw_percent
temporal_targetwise,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.50+hazard_targetwise_0.50,7.85,7.854525063974038
temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,hazard_targetwise,7.85,7.8545259432544645
temporal_targetwise,base_0.20+temporal_targetwise_0.80,temporal_targetwise_0.35+hazard_targetwise_0.65,7.85,7.854560548216893
temporal_targetwise,temporal_targetwise_0.50+targetwise_0.50,hazard_targetwise,7.85,7.854572102542545
temporal_targetwise,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.35+hazard_targetwise_0.65,7.85,7.854599822902797
temporal_targetwise,base_0.20+temporal_targetwise_0.80,temporal_targetwise_0.20+hazard_targetwise_0.80,7.85,7.8546221138729555
temporal_targetwise,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise,7.85,7.854646284012001
temporal_targetwise,temporal_targetwise_0.50+targetwise_0.50,temporal_targetwise_0.80+targetwise_0.20,7.85,7.854665776914449
temporal_targetwise,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,7.85,7.854666423364209
temporal_targetwise,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise_0.65+hazard_targetwise_0.35,7.85,7.8546686891176165
temporal_targetwise,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.20+hazard_targetwise_0.80,7.85,7.8546860280659825
temporal_targetwise,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise_0.50+hazard_targetwise_0.50,7.85,7.854689701588269
temporal_targetwise,base_0.20+temporal_targetwise_0.80,hazard_targetwise,7.85,7.854704201469009
temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,temporal_targetwise_0.80+targetwise_0.20,7.85,7.854723721225865
temporal_targetwise,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise_0.35+hazard_targetwise_0.65,7.85,7.85473982112852
temporal_targetwise,temporal_targetwise_0.35+targetwise_0.65,hazard_targetwise,7.85,7.854800968390752
temporal_targetwise,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise_0.20+hazard_targetwise_0.80,7.85,7.8548013868869
temporal_targetwise,temporal_targetwise_0.35+targetwise_0.65,temporal_targetwise_0.80+targetwise_0.20,7.85,7.854870234835731
temporal_targetwise,temporal_targetwise_0.80+hazard_ridge_0.20,hazard_targetwise,7.85,7.854883474619401
temporal_targetwise,base_0.20+temporal_targetwise_0.80,temporal_targetwise_0.80+targetwise_0.20,7.85,7.854906690612462
temporal_targetwise,temporal_targetwise_0.80+hazard_ridge_0.20,temporal_targetwise_0.80+targetwise_0.20,7.86,7.855072351356629
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise,temporal_targetwise_0.65+hazard_targetwise_0.35,7.86,7.858106707797519
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.8581162430695795
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise,temporal_targetwise_0.50+hazard_targetwise_0.50,7.86,7.8581277209379685
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise,temporal_targetwise,7.86,7.858128956766963
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise,temporal_targetwise_0.35+hazard_targetwise_0.65,7.86,7.858177842075853
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise,temporal_targetwise_0.20+hazard_targetwise_0.80,7.86,7.85823940979673
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise,7.86,7.858253798928572
temporal_targetwise_0.80+temporal_ridge_0.20,temporal_targetwise_0.80+targetwise_0.20,temporal_targetwise_0.80+hazard_targetwise_0.20,7.86,7.8582739389543965
