rate_smoothing_weeks,publisher_smoothing,hour_smoothing,cpm_smoothing,session_power,hazard_blend_weight,selection_metric_percent,selection_metric_raw_percent
1.5,100.0,25.0,0.0,0.5,0.03,8.42,8.417376248532715
1.5,100.0,25.0,1000.0,0.5,0.03,8.42,8.418631966734136
1.5,100.0,100.0,0.0,1.0,0.03,8.42,8.422903860045894
1.5,100.0,100.0,1000.0,1.0,0.03,8.42,8.42310018927539
1.5,100.0,25.0,0.0,1.0,0.03,8.43,8.42675532777475
1.5,100.0,25.0,1000.0,1.0,0.03,8.43,8.427027884145666
3.0,25.0,100.0,1000.0,0.5,0.03,8.47,8.469304079510408
3.0,25.0,100.0,0.0,0.5,0.03,8.47,8.469534879075958
3.0,25.0,25.0,1000.0,0.5,0.03,8.48,8.476433912595848
3.0,25.0,25.0,0.0,0.5,0.03,8.48,8.47687414134446
3.0,25.0,100.0,1000.0,1.0,0.03,8.49,8.488193222528562
3.0,25.0,100.0,0.0,1.0,0.03,8.49,8.488477164492835
0.5,25.0,100.0,1000.0,0.5,0.05,8.49,8.489652656062518
0.5,25.0,100.0,0.0,0.5,0.05,8.49,8.490298920266582
3.0,25.0,25.0,1000.0,1.0,0.03,8.49,8.493968995111235
3.0,25.0,25.0,0.0,1.0,0.03,8.49,8.494223483607843
0.5,25.0,25.0,1000.0,0.5,0.05,8.5,8.499597760424638
0.5,25.0,25.0,0.0,0.5,0.05,8.5,8.499608831516415
3.0,100.0,100.0,1000.0,0.5,0.03,8.51,8.507928520146834
3.0,100.0,100.0,0.0,0.5,0.03,8.51,8.508364010059811
3.0,100.0,25.0,1000.0,0.5,0.03,8.51,8.51320567481011
3.0,100.0,25.0,0.0,0.5,0.03,8.51,8.513346116852238
3.0,100.0,100.0,0.0,1.0,0.03,8.52,8.523811541239468
3.0,100.0,100.0,1000.0,1.0,0.03,8.52,8.523906160556205
3.0,100.0,25.0,0.0,1.0,0.03,8.53,8.52958807031472
3.0,100.0,25.0,1000.0,1.0,0.03,8.53,8.529690655452104
0.5,25.0,100.0,1000.0,1.0,0.05,8.55,8.547292660064553
0.5,25.0,100.0,0.0,1.0,0.05,8.55,8.547613068765259
0.5,25.0,25.0,1000.0,1.0,0.05,8.56,8.558799623312762
0.5,25.0,25.0,0.0,1.0,0.05,8.56,8.559122877257686
0.5,100.0,100.0,1000.0,0.5,0.05,8.58,8.578141781906545
0.5,100.0,100.0,0.0,0.5,0.05,8.58,8.57863370752785
0.5,100.0,25.0,1000.0,0.5,0.05,8.59,8.594885334499613
0.5,100.0,25.0,0.0,0.5,0.05,8.6,8.595427133537559
0.5,100.0,100.0,0.0,1.0,0.05,8.63,8.628234584494777
0.5,100.0,100.0,1000.0,1.0,0.05,8.63,8.629135869268968
0.5,100.0,25.0,1000.0,1.0,0.05,8.65,8.645019782888298
0.5,100.0,25.0,0.0,1.0,0.05,8.65,8.64596001903395
1.5,25.0,100.0,1000.0,0.5,0.05,8.73,8.730583862323705
1.5,25.0,100.0,0.0,0.5,0.05,8.73,8.731278726785385
1.5,25.0,25.0,0.0,0.5,0.05,8.75,8.746436869004203
1.5,25.0,25.0,1000.0,0.5,0.05,8.75,8.7483059961182
1.5,25.0,100.0,1000.0,1.0,0.05,8.8,8.795322424451468
1.5,25.0,100.0,0.0,1.0,0.05,8.8,8.796055170788009
1.5,25.0,25.0,1000.0,1.0,0.05,8.81,8.812119807918407
1.5,25.0,25.0,0.0,1.0,0.05,8.81,8.812568125340148
1.5,100.0,100.0,1000.0,0.5,0.05,8.82,8.819635006853254
1.5,100.0,100.0,0.0,0.5,0.05,8.82,8.820841357029895
1.5,100.0,25.0,0.0,0.5,0.05,8.84,8.836820564656778
1.5,100.0,25.0,1000.0,0.5,0.05,8.84,8.839242274279059
1.5,100.0,100.0,0.0,1.0,0.05,8.88,8.881135449375211
1.5,100.0,100.0,1000.0,1.0,0.05,8.88,8.88160600738539
1.5,100.0,25.0,0.0,1.0,0.05,8.89,8.887808390330875
1.5,100.0,25.0,1000.0,1.0,0.05,8.89,8.888420062479497
3.0,25.0,100.0,1000.0,0.5,0.05,8.92,8.922314244498875
3.0,25.0,100.0,0.0,0.5,0.05,8.92,8.922676525715811
3.0,25.0,25.0,1000.0,0.5,0.05,8.93,8.933541735242922
3.0,25.0,25.0,0.0,0.5,0.05,8.93,8.93435571748078
0.5,25.0,100.0,1000.0,0.5,0.08,8.94,8.941494205704847
0.5,25.0,100.0,0.0,0.5,0.08,8.94,8.942724925029344
0.5,25.0,25.0,1000.0,0.5,0.08,8.96,8.959248960607225
0.5,25.0,25.0,0.0,0.5,0.08,8.96,8.959357543505032
3.0,25.0,100.0,1000.0,1.0,0.05,8.99,8.991939737507693
3.0,25.0,100.0,0.0,1.0,0.05,8.99,8.99237502937571
3.0,25.0,25.0,1000.0,1.0,0.05,9.0,9.002292516119702
3.0,25.0,25.0,0.0,1.0,0.05,9.0,9.002696162240099
3.0,100.0,100.0,1000.0,0.5,0.05,9.01,9.012688578680583
3.0,100.0,100.0,0.0,0.5,0.05,9.01,9.013416925355733
3.0,100.0,25.0,1000.0,0.5,0.05,9.02,9.020956064682185
3.0,100.0,25.0,0.0,0.5,0.05,9.02,9.021177100657063
3.0,100.0,100.0,0.0,1.0,0.05,9.08,9.075338663586475
3.0,100.0,100.0,1000.0,1.0,0.05,9.08,9.075669896136684
3.0,100.0,25.0,0.0,1.0,0.05,9.09,9.085302536015472
3.0,100.0,25.0,1000.0,1.0,0.05,9.09,9.085574534864138
0.5,25.0,100.0,1000.0,1.0,0.08,9.09,9.090251811143645
0.5,25.0,100.0,0.0,1.0,0.08,9.09,9.090856432801985
0.5,25.0,25.0,1000.0,1.0,0.08,9.11,9.107645954107358
0.5,25.0,25.0,0.0,1.0,0.08,9.11,9.108154536694112
0.5,100.0,100.0,1000.0,0.5,0.08,9.11,9.113293914600739
0.5,100.0,100.0,0.0,0.5,0.08,9.11,9.114412658456983
0.5,100.0,25.0,1000.0,0.5,0.08,9.14,9.141487896092038
0.5,100.0,25.0,0.0,0.5,0.08,9.14,9.142694467218826
0.5,100.0,100.0,0.0,1.0,0.08,9.25,9.250016814656913
0.5,100.0,100.0,1000.0,1.0,0.08,9.25,9.251396703636573
0.5,100.0,25.0,1000.0,1.0,0.08,9.28,9.27647939956473
0.5,100.0,25.0,0.0,1.0,0.08,9.28,9.278348088375022
0.5,25.0,100.0,1000.0,0.5,0.1,9.28,9.281087062829885
